#ES	ie	edge	firefox	chrome	safari	opera	ios_saf	op_mini	android	op_mob	and_chr	and_ff	ie_mob	and_uc	samsung	baidu	kaios
#Ref1: https://github.com/browserslist/browserslist#browsers
#Ref2: https://caniuse.com/es6
#Ref3: https://compat-table.github.io/compat-table/es6/
5	11	12	21	23	6	15	7	-	4.4	12.1	25	21	10	-	4	-	-
2015	-	12	45	49	10	36	10	-	-	-	49	45	-	-	5	-	-
2016	-	14	48	52	10	39	10	-	-	-	52	48	-	-	5	-	-
2017	-	15	52	58	10.1	45	10.3	-	-	-	58	52	-	-	6	-	-
2018	-	18	57	64	11.1	51	11.3	-	-	-	64	57	-	-	9	-	-
2019	-	79	65	73	12.1	60	12.2	-	-	-	73	65	-	-	11	-	-
2020	-	80	72	80	13.1	67	13.4	-	-	-	80	72	-	-	13	-	-
2021	-	89	86	89	14.1	75	14.5	-	-	-	89	86	-	-	15	-	-
2022	-	101	98	101	15.4	87	15.4	-	-	-	101	98	-	-	17	-	-
2023	-	111	111	111	16.4	97	16.4	-	-	-	111	111	-	-	21	-	-
2024	-	125	128	125	17.5	111	17.5	-	-	-	125	128	-	-	26	-	-
2025	-	135	135	135	18.4	121	18.4	-	-	-	135	135	-	-	-	-	-
